%LAMBDA nm	HbO2 1/(mm*uM)	Hb 1/(mm*uM)
946	0.2815	0.1491
947	0.2811	0.1468
948	0.2807	0.1446
949	0.2804	0.1423
950	0.2800	0.1401
951	0.2796	0.1379
952	0.2793	0.1357
953	0.2789	0.1340
954	0.2785	0.1323
955	0.2781	0.1306
956	0.2777	0.1289
957	0.2772	0.1273
958	0.2767	0.1256
959	0.2763	0.1239
960	0.2758	0.1222
961	0.2753	0.1205
962	0.2749	0.1189
963	0.2744	0.1170
964	0.2740	0.1152
965	0.2734	0.1126
966	0.2728	0.1101
967	0.2722	0.1075
968	0.2715	0.1050
969	0.2709	0.1024
970	0.2702	0.0998
971	0.2696	0.0982
972	0.2689	0.0966
973	0.2683	0.0951
974	0.2676	0.0936
975	0.2668	0.0920
976	0.2660	0.0905
977	0.2651	0.0889
978	0.2642	0.0872
979	0.2633	0.0854
980	0.2623	0.0836
981	0.2614	0.0819
982	0.2605	0.0801
983	0.2595	0.0783
984	0.2586	0.0765
985	0.2575	0.0748
986	0.2564	0.0730
987	0.2551	0.0712
988	0.2538	0.0694
989	0.2525	0.0676
990	0.2512	0.0659
991	0.2499	0.0641
992	0.2486	0.0623
993	0.2473	0.0605
994	0.2460	0.0588
995	0.2447	0.0570
996	0.2433	0.0552
997	0.2420	0.0534
998	0.2407	0.0516
999	0.2394	0.0499
1000	0.2381	0.0481
1001	0.2370	0.0471
1002	0.2384	0.0468
1003	0.2375	0.0464
1004	0.2366	0.0456
1005	0.2357	0.0452
1006	0.2348	0.0451
1007	0.2339	0.0446
1008	0.2330	0.0441
1009	0.2321	0.0437
1010	0.2312	0.0432
1011	0.2302	0.0429
1012	0.2289	0.0426
1013	0.2275	0.0422
1014	0.2262	0.0419
1015	0.2248	0.0415
1016	0.2235	0.0412
1017	0.2217	0.0408
1018	0.2200	0.0405
1019	0.2182	0.0401
1020	0.2165	0.0397
1021	0.2144	0.0396
1022	0.2129	0.0394
1023	0.2114	0.0393
1024	0.2100	0.0391
1025	0.2085	0.0390
1026	0.2072	0.0386
1027	0.2060	0.0383
1028	0.2047	0.0379
1029	0.2034	0.0375
1030	0.2021	0.0372
1031	0.2008	0.0369
1032	0.1996	0.0365
1033	0.1983	0.0362
1034	0.1970	0.0359
1035	0.1957	0.0356
1036	0.1944	0.0353
1037	0.1931	0.0350
1038	0.1918	0.0347
1039	0.1905	0.0345
1040	0.1892	0.0342
1041	0.1877	0.0338
1042	0.1863	0.0334
1043	0.1848	0.0331
1044	0.1834	0.0327
1045	0.1819	0.0323
1046	0.1800	0.0319
1047	0.1781	0.0316
1048	0.1761	0.0312
